Season,Round,TeamA,TeamB,SeedA,SeedB,label,AdjEM_A,AdjEM_B,d_AdjEM,AdjO_A,AdjO_B,d_AdjO,AdjD_A,AdjD_B,d_AdjD,AdjT_A,AdjT_B,d_AdjT,Luck_A,Luck_B,d_Luck,SOS-AdjEM_A,SOS-AdjEM_B,d_SOS-AdjEM,NCSOS-AdjEM_A,NCSOS-AdjEM_B,d_NCSOS-AdjEM,Momentum_A,Momentum_B,d_Momentum,OffEFG_A,OffEFG_B,d_OffEFG,DefEFG_A,DefEFG_B,d_DefEFG,d_Seed
2010,Second Round,Missouri,West Virginia,10,2,0,19.99,25.54,-5.550000000000001,111.5,117.2,-5.700000000000003,91.5,91.7,-0.20000000000000284,68.8,62.6,6.199999999999996,-0.035,0.057,-0.092,8.17,12.58,-4.41,-6.1,5.45,-11.55,14.762060642174983,7.904469032343229,6.857591609831754,50.1,48.9,1.2000000000000028,45.9,46.9,-1.0,8
2010,Sweet 16,Kentucky,Cornell,1,12,1,26.54,15.92,10.62,114.9,117.4,-2.5,88.3,101.5,-13.200000000000003,68.3,63.9,4.399999999999999,0.06,0.068,-0.008000000000000007,7.06,-0.66,7.72,-1.28,4.12,-5.4,7.992883864929439,11.770165064837656,-3.7772811999082165,53.1,56.6,-3.5,43.1,48.1,-5.0,-11
2010,Sweet 16,Cornell,Kentucky,12,1,0,15.92,26.54,-10.62,117.4,114.9,2.5,101.5,88.3,13.200000000000003,63.9,68.3,-4.399999999999999,0.068,0.06,0.008000000000000007,-0.66,7.06,-7.72,4.12,-1.28,5.4,11.770165064837656,7.992883864929439,3.7772811999082165,56.6,53.1,3.5,48.1,43.1,5.0,11
2010,Sweet 16,West Virginia,Washington,2,11,1,25.54,18.19,7.349999999999998,117.2,111.7,5.5,91.7,93.6,-1.8999999999999915,62.6,71.7,-9.100000000000001,0.057,0.029,0.028,12.58,6.97,5.61,5.45,1.13,4.32,7.904469032343229,11.403201679433174,-3.4987326470899447,48.9,49.7,-0.8000000000000043,46.9,46.5,0.3999999999999986,-9
2010,Sweet 16,Washington,West Virginia,11,2,0,18.19,25.54,-7.349999999999998,111.7,117.2,-5.5,93.6,91.7,1.8999999999999915,71.7,62.6,9.100000000000001,0.029,0.057,-0.028,6.97,12.58,-5.61,1.13,5.45,-4.32,11.403201679433174,7.904469032343229,3.4987326470899447,49.7,48.9,0.8000000000000043,46.5,46.9,-0.3999999999999986,9
2010,Elite 8,West Virginia,Kentucky,2,1,1,25.54,26.54,-1.0,117.2,114.9,2.299999999999997,91.7,88.3,3.4000000000000057,62.6,68.3,-5.699999999999996,0.057,0.06,-0.0029999999999999957,12.58,7.06,5.5200000000000005,5.45,-1.28,6.73,7.904469032343229,7.992883864929439,-0.08841483258620997,48.9,53.1,-4.200000000000003,46.9,43.1,3.799999999999997,1
2010,Elite 8,Kentucky,West Virginia,1,2,0,26.54,25.54,1.0,114.9,117.2,-2.299999999999997,88.3,91.7,-3.4000000000000057,68.3,62.6,5.699999999999996,0.06,0.057,0.0029999999999999957,7.06,12.58,-5.5200000000000005,-1.28,5.45,-6.73,7.992883864929439,7.904469032343229,0.08841483258620997,53.1,48.9,4.200000000000003,43.1,46.9,-3.799999999999997,-1
2010,First Round,Kansas,Lehigh,1,16,1,31.85,-0.97,32.82,120.4,105.6,14.800000000000011,88.5,106.6,-18.099999999999994,67.2,68.9,-1.7000000000000028,0.038,0.018,0.02,9.53,-10.02,19.549999999999997,1.13,-8.95,10.079999999999998,1.3693513387789975,16.61858741533481,-15.249236076555814,55.1,51.4,3.700000000000003,43.2,48.8,-5.599999999999994,-15
2010,First Round,Lehigh,Kansas,16,1,0,-0.97,31.85,-32.82,105.6,120.4,-14.800000000000011,106.6,88.5,18.099999999999994,68.9,67.2,1.7000000000000028,0.018,0.038,-0.02,-10.02,9.53,-19.549999999999997,-8.95,1.13,-10.079999999999998,16.61858741533481,1.3693513387789975,15.249236076555814,51.4,55.1,-3.700000000000003,48.8,43.2,5.599999999999994,15
2010,First Round,Northern Iowa,UNLV,9,8,1,18.87,16.56,2.3100000000000023,109.6,110.6,-1.0,90.8,94.0,-3.200000000000003,58.9,66.3,-7.399999999999999,0.034,-0.013,0.047,4.08,4.08,0.0,-1.58,0.67,-2.25,6.923430252266911,9.914018677565885,-2.9905884252989736,49.6,52.2,-2.6000000000000014,46.6,45.8,0.8000000000000043,1
