Season,Region,Round,Date,WTeam,WSeed,WScore,LTeam,LSeed,LScore
2012,west,First Round,2012-03-15,New Mexico,5,75,Long Beach St.,12,68
2012,west,First Round,2012-03-15,Louisville,4,69,Davidson,13,62
2012,west,First Round,2012-03-15,Murray St.,6,58,Colorado St.,11,41
2012,west,First Round,2012-03-15,Marquette,3,88,BYU,14,68
2012,west,First Round,2012-03-16,Florida,7,71,Virginia,10,45
2012,west,First Round,2012-03-16,Norfolk St.,15,86,Missouri,2,84
2012,west,Second Round,2012-03-18,Michigan St.,1,65,Saint Louis,9,61
2012,west,Second Round,2012-03-17,Louisville,4,59,New Mexico,5,56
2012,west,Second Round,2012-03-17,Marquette,3,62,Murray St.,6,53
2012,west,Second Round,2012-03-18,Florida,7,84,Norfolk St.,15,50
2012,west,Sweet 16,2012-03-22,Louisville,4,57,Michigan St.,1,44
2012,west,Sweet 16,2012-03-22,Florida,7,68,Marquette,3,58
2012,west,Elite 8,2012-03-24,Louisville,4,72,Florida,7,68
2012,national,Final Four,2012-03-31,Kansas,2,64,Ohio St.,2,62
2012,national,Final Four,2012-03-31,Kentucky,1,69,Louisville,4,61
2012,national,Championship,2012-04-02,Kentucky,1,67,Kansas,2,59
2013,east,First Round,2013-03-22,Indiana,1,83,James Madison,16,62
2013,east,First Round,2013-03-22,Temple,9,76,N.C. St.,8,72
2013,east,First Round,2013-03-21,California,12,64,UNLV,5,61
2013,east,First Round,2013-03-21,Syracuse,4,81,Montana,13,34
2013,east,First Round,2013-03-21,Butler,6,68,Bucknell,11,56
2013,east,First Round,2013-03-21,Marquette,3,59,Davidson,14,58
2013,east,First Round,2013-03-22,Illinois,7,57,Colorado,10,49
2013,east,First Round,2013-03-22,Miami FL,2,78,Pacific,15,49
2013,east,Second Round,2013-03-24,Indiana,1,58,Temple,9,52
2013,east,Second Round,2013-03-23,Syracuse,4,66,California,12,60
2013,east,Second Round,2013-03-23,Marquette,3,74,Butler,6,72
2013,east,Second Round,2013-03-24,Miami FL,2,63,Illinois,7,59
2013,east,Sweet 16,2013-03-28,Syracuse,4,61,Indiana,1,50
2013,east,Sweet 16,2013-03-28,Marquette,3,71,Miami FL,2,61
2013,east,Elite 8,2013-03-30,Syracuse,4,55,Marquette,3,39
2013,midwest,First Round,2013-03-21,Louisville,1,79,North Carolina A&T,16,48
2013,midwest,First Round,2013-03-21,Colorado St.,8,84,Missouri,9,72
2013,midwest,First Round,2013-03-21,Oregon,12,68,Oklahoma St.,5,55
2013,midwest,First Round,2013-03-21,Saint Louis,4,64,New Mexico St.,13,44
2013,midwest,First Round,2013-03-21,Memphis,6,54,Saint Mary's,11,52
2013,midwest,First Round,2013-03-21,Michigan St.,3,65,Valparaiso,14,54
2013,midwest,First Round,2013-03-22,Creighton,7,67,Cincinnati,10,63
2013,midwest,First Round,2013-03-22,Duke,2,73,Albany,15,61
2013,midwest,Second Round,2013-03-23,Louisville,1,82,Colorado St.,8,56
2013,midwest,Second Round,2013-03-23,Oregon,12,74,Saint Louis,4,57
2013,midwest,Second Round,2013-03-23,Michigan St.,3,70,Memphis,6,48
2013,midwest,Second Round,2013-03-24,Duke,2,66,Creighton,7,50
2013,midwest,Sweet 16,2013-03-29,Louisville,1,77,Oregon,12,69
2013,midwest,Sweet 16,2013-03-29,Duke,2,71,Michigan St.,3,61
2013,midwest,Elite 8,2013-03-31,Louisville,1,85,Duke,2,63
2013,south,First Round,2013-03-22,Kansas,1,64,Western Kentucky,16,57
2013,south,First Round,2013-03-22,North Carolina,8,78,Villanova,9,71
2013,south,First Round,2013-03-21,VCU,5,88,Akron,12,42
2013,south,First Round,2013-03-21,Michigan,4,71,South Dakota St.,13,56
2013,south,First Round,2013-03-22,Minnesota,11,83,UCLA,6,63
2013,south,First Round,2013-03-22,Florida,3,79,Northwestern St.,14,47
2013,south,First Round,2013-03-22,San Diego St.,7,70,Oklahoma,10,55
2013,south,First Round,2013-03-22,Florida Gulf Coast,15,78,Georgetown,2,68
2013,south,Second Round,2013-03-24,Kansas,1,70,North Carolina,8,58
2013,south,Second Round,2013-03-23,Michigan,4,78,VCU,5,53
2013,south,Second Round,2013-03-24,Florida,3,78,Minnesota,11,64
2013,south,Second Round,2013-03-24,Florida Gulf Coast,15,81,San Diego St.,7,71
2013,south,Sweet 16,2013-03-29,Michigan,4,87,Kansas,1,85
