Model,Round,Feature,MeanDeltaLogLoss,StdDeltaLogLoss,BaseLogLoss,n
xgb,NCG,d_DefEFG,0.02123114737246105,0.007812189368836822,0.16030651416775105,32
xgb,NCG,d_Seed,0.011317299568088768,0.021534936447546633,0.16030651416775105,32
rf,R64,d_AdjEM,0.17130174688675995,0.008464740275290681,0.3564865861916856,1022
rf,R64,d_AdjO,0.060353027823544105,0.004288192236344567,0.3564865861916856,1022
rf,R64,d_AdjD,0.06880121975647281,0.003877974065405976,0.3564865861916856,1022
rf,R64,d_AdjT,0.008438370543903794,0.0004213923716451343,0.3564865861916856,1022
rf,R64,d_Luck,0.0310442407233959,0.002193907950563402,0.3564865861916856,1022
rf,R64,d_SOS-AdjEM,0.06072164309525049,0.0038067708440254703,0.3564865861916856,1022
rf,R64,d_NCSOS-AdjEM,0.008601699818139826,0.0005413530729049196,0.3564865861916856,1022
rf,R64,d_Momentum,0.02403631860686529,0.0015985273757738543,0.3564865861916856,1022
rf,R64,d_OffEFG,0.010502334426399277,0.0005573085871241653,0.3564865861916856,1022
rf,R64,d_DefEFG,0.013874734906423027,0.0006194986172392257,0.3564865861916856,1022
rf,R64,d_Seed,0.03314895676232232,0.0017865905404315866,0.3564865861916856,1022
rf,R32,d_AdjEM,0.1675567117755165,0.008794116917192672,0.3737397877709641,512
rf,R32,d_AdjO,0.06653313847883983,0.0056305213313728834,0.3737397877709641,512
rf,R32,d_AdjD,0.05709803846866608,0.0049606884088952835,0.3737397877709641,512
rf,R32,d_AdjT,0.0059672774075363,0.000658749367192815,0.3737397877709641,512
rf,R32,d_Luck,0.02221527187107395,0.0031996101419581886,0.3737397877709641,512
rf,R32,d_SOS-AdjEM,0.06287346063644164,0.0059318436729189645,0.3737397877709641,512
rf,R32,d_NCSOS-AdjEM,0.007221454022978271,0.0006835711560161833,0.3737397877709641,512
rf,R32,d_Momentum,0.02708786406811497,0.003110870579250174,0.3737397877709641,512
rf,R32,d_OffEFG,0.013688143331402816,0.0007455903933552516,0.3737397877709641,512
rf,R32,d_DefEFG,0.016352856827428867,0.001216451746301215,0.3737397877709641,512
rf,R32,d_Seed,0.03180999144843051,0.002458943976955021,0.3737397877709641,512
rf,S16,d_AdjEM,0.12905012519617357,0.014364676649299602,0.41211645334834823,256
rf,S16,d_AdjO,0.06142782854922207,0.007385700479327582,0.41211645334834823,256
rf,S16,d_AdjD,0.051667083494202765,0.004621777024961623,0.41211645334834823,256
rf,S16,d_AdjT,0.008387857102975172,0.0008208891535700962,0.41211645334834823,256
rf,S16,d_Luck,0.04417339191580667,0.005507687905390145,0.41211645334834823,256
rf,S16,d_SOS-AdjEM,0.06144046464431111,0.007651384062083675,0.41211645334834823,256
rf,S16,d_NCSOS-AdjEM,0.009577875504442408,0.0008881298236090875,0.41211645334834823,256
rf,S16,d_Momentum,0.03731061767698942,0.004288409948669003,0.41211645334834823,256
rf,S16,d_OffEFG,0.013163930282020198,0.0009311033797672877,0.41211645334834823,256
rf,S16,d_DefEFG,0.01893478235366344,0.0013905277246119671,0.41211645334834823,256
rf,S16,d_Seed,0.028370730775024958,0.00251283131491811,0.41211645334834823,256
rf,E8,d_AdjEM,0.09008091099442636,0.02051219891067455,0.4783638343401917,128
rf,E8,d_AdjO,0.047883925402757405,0.009984860334184359,0.4783638343401917,128
rf,E8,d_AdjD,0.040363746624291555,0.009967329063146492,0.4783638343401917,128
rf,E8,d_AdjT,0.0084801028253728,0.0012033941785699928,0.4783638343401917,128
rf,E8,d_Luck,0.03674830784904632,0.005835862274882672,0.4783638343401917,128
rf,E8,d_SOS-AdjEM,0.052350776733250524,0.00710173109134668,0.4783638343401917,128
rf,E8,d_NCSOS-AdjEM,0.006503745975784068,0.0009412619054045717,0.4783638343401917,128
rf,E8,d_Momentum,0.038538428690731305,0.006657389383097058,0.4783638343401917,128
rf,E8,d_OffEFG,0.013910336297286491,0.002024832625418193,0.4783638343401917,128
rf,E8,d_DefEFG,0.015306368394053832,0.002863675776810966,0.4783638343401917,128
rf,E8,d_Seed,0.03520634907399491,0.004815863765893112,0.4783638343401917,128
rf,F4,d_AdjEM,0.16513932897327002,0.03040608164502268,0.39093856640804947,64
rf,F4,d_AdjO,0.06043568990600177,0.01176599110964423,0.39093856640804947,64
rf,F4,d_AdjD,0.06382702908778276,0.010899821687815617,0.39093856640804947,64
